OrderID,OrderDate,OrderYear,OrderMonth,MonthNumber,OrderDayOfWeek,OrderQuarter,Quantity,TotalAmount,CustomerID,CustomerName,Gender,City,Country,EmailDomain,ProductID,ProductName,UnitPrice,Rating,Category
18,2025-11-17,2025,November,11,Monday,Q4,3,161.22,1039,Michael Scott,Male,Maryhaven,Western Sahara,yahoo.com,2,Tipping the Velvet,53.74,1,Historical Fiction
19,2026-01-31,2026,January,1,Saturday,Q1,1,22.5,1831,Sharon Delgado,Female,Lisastad,Saint Martin,yahoo.com,27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Default
20,2026-02-03,2026,February,2,Tuesday,Q1,3,67.95,1438,James Ibarra,Male,Washingtonview,Venezuela,yahoo.com,6,The Requiem Red,22.65,1,Young Adult
21,2026-08-02,2026,August,8,Sunday,Q3,1,44.18,760,Joshua Smith,Male,Lynchburgh,United States Virgin Islands,gmail.com,49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction
22,2025-11-23,2025,November,11,Sunday,Q4,2,45.3,1276,Ariana Mccall,Female,Saratown,Burkina Faso,yahoo.com,6,The Requiem Red,22.65,1,Young Adult
23,2026-04-30,2026,April,4,Thursday,Q2,1,12.84,170,Sarah Parker,Female,Bakerview,Mongolia,yahoo.com,21,In Her Wake,12.84,1,Thriller
24,2025-11-07,2025,November,11,Friday,Q4,3,52.38,237,Matthew Ryan,Male,Sweeneyland,Belgium,yahoo.com,13,Set Me Free,17.46,5,Young Adult
25,2026-04-27,2026,April,4,Monday,Q2,1,47.82,756,Catherine Holland,Female,South Lisafurt,Afghanistan,yahoo.com,4,Sharp Objects,47.82,4,Mystery
26,2026-03-18,2026,March,3,Wednesday,Q1,1,19.63,550,Jean Carpenter,Female,Palmerburgh,Palau,gmail.com,38,"In a Dark, Dark Wood",19.63,1,Mystery
27,2026-01-31,2026,January,1,Saturday,Q1,1,22.65,974,Matthew Duncan,Male,East Jose,Cook Islands,yahoo.com,6,The Requiem Red,22.65,1,Young Adult
28,2025-11-26,2025,November,11,Wednesday,Q4,1,45.07,1405,Eric Delacruz,Male,Kristenstad,New Zealand,yahoo.com,45,Without Borders (Wanderlove #1),45.07,2,New Adult
29,2025-09-22,2025,September,9,Monday,Q3,1,47.82,612,Joyce Johnston,Female,Schroedershire,Iran,yahoo.com,4,Sharp Objects,47.82,4,Mystery
30,2026-08-02,2026,August,8,Sunday,Q3,3,156.87,1630,Cindy Johnson,Female,East Alicia,Tuvalu,yahoo.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
31,2026-06-01,2026,June,6,Monday,Q2,2,114.62,384,Emily Holden,Female,Rachelberg,Reunion,gmail.com,41,Slow States of Collapse: Poems,57.31,3,Poetry
32,2025-11-16,2025,November,11,Sunday,Q4,3,100.89,1225,Kenneth Silva,Male,West Paul,Faroe Islands,yahoo.com,40,You can't bury them all: Poems,33.63,2,Poetry
33,2026-07-04,2026,July,7,Saturday,Q3,1,23.88,694,Jennifer Blackwell,Female,North Marissa,Colombia,gmail.com,17,Olio,23.88,1,Poetry
34,2025-11-14,2025,November,11,Friday,Q4,1,52.15,1894,Joshua Herman,Male,Reidfurt,United Kingdom,yahoo.com,10,The Black Maria,52.15,1,Poetry
35,2026-02-02,2026,February,2,Monday,Q1,1,33.29,51,Natasha Wall,Female,West Markchester,China,yahoo.com,36,Penny Maybe,33.29,3,Default
36,2026-09-01,2026,September,9,Tuesday,Q3,2,104.58,413,Angela Johnson,Female,East Nicole,Saint Helena,gmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
37,2026-02-25,2026,February,2,Wednesday,Q1,3,159.39,1147,Sandra Ramos,Female,New Charles,Saint Pierre and Miquelon,gmail.com,28,Aladdin and His Wonderful Lamp,53.13,3,Default
38,2025-12-15,2025,December,12,Monday,Q4,1,33.34,839,Katie Kaiser,Female,Mariamouth,Benin,hotmail.com,7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business
39,2026-08-17,2026,August,8,Monday,Q3,3,150.81,1695,Trevor Thomas,Male,Brandonbury,El Salvador,hotmail.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
40,2026-03-02,2026,March,3,Monday,Q1,1,57.31,751,David Molina,Male,Lake Rebecca,Lesotho,hotmail.com,41,Slow States of Collapse: Poems,57.31,3,Poetry
41,2026-01-19,2026,January,1,Monday,Q1,3,143.46,1965,Ryan Bradford,Male,Vanessaside,Palau,hotmail.com,4,Sharp Objects,47.82,4,Mystery
42,2026-05-04,2026,May,5,Monday,Q2,2,69.06,821,Megan Norton,Female,East Madison,France,hotmail.com,25,Black Dust,34.53,5,Romance
43,2026-07-10,2026,July,7,Friday,Q3,3,61.98,7,Gerald Carter,Male,New Mariotown,Bouvet Island (Bouvetoya),gmail.com,12,Shakespeare's Sonnets,20.66,4,Poetry
44,2026-06-07,2026,June,6,Sunday,Q2,3,93.15,1624,Bruce Armstrong,Male,South Susanbury,Senegal,hotmail.com,32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction
45,2026-01-27,2026,January,1,Tuesday,Q1,1,52.22,1027,Ashley Aguilar,Female,Sanchezmouth,Mali,hotmail.com,39,Behind Closed Doors,52.22,4,Thriller
46,2025-11-03,2025,November,11,Monday,Q4,1,12.84,1808,Robin Patel,Female,West Charles,El Salvador,hotmail.com,21,In Her Wake,12.84,1,Thriller
47,2025-09-17,2025,September,9,Wednesday,Q3,2,80.6,716,Julie Nolan,Female,South Laceyburgh,Canada,yahoo.com,29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction
48,2025-12-08,2025,December,12,Monday,Q4,2,36.04,525,Javier Avila,Male,New Andrew,Andorra,yahoo.com,37,Maude (1883-1993):She Grew Up with the country,18.02,2,Default
49,2026-01-26,2026,January,1,Monday,Q1,2,100.2,469,Jason Edwards,Male,Jimenezside,Qatar,gmail.com,3,Soumission,50.1,1,Fiction
50,2025-12-09,2025,December,12,Tuesday,Q4,2,31.88,205,Joshua Jones,Male,Markport,Cuba,hotmail.com,35,Sophie's World,15.94,5,Philosophy
51,2026-04-11,2026,April,4,Saturday,Q2,3,103.59,923,Carl Powers,Male,Port James,Turkmenistan,hotmail.com,25,Black Dust,34.53,5,Romance
52,2026-04-04,2026,April,4,Saturday,Q2,1,12.84,1816,Jerome Craig,Male,South Angelica,Fiji,yahoo.com,21,In Her Wake,12.84,1,Thriller
53,2026-08-11,2026,August,8,Tuesday,Q3,2,50.54,1843,Daniel Hess,Male,Shieldsport,Wallis and Futuna,hotmail.com,24,Chase Me (Paris Nights #2),25.27,5,Romance
54,2025-10-10,2025,October,10,Friday,Q4,2,66.68,619,William Schmidt,Male,Port Tracystad,Australia,yahoo.com,7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business
55,2026-07-20,2026,July,7,Monday,Q3,2,75.18,845,Sarah Nelson,Female,North Darrylfurt,Macao,gmail.com,18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction
56,2026-07-10,2026,July,7,Friday,Q3,1,18.78,245,Yolanda Ford,Female,Wisemouth,Egypt,gmail.com,50,Unicorn Tracks,18.78,3,Fantasy
57,2026-06-16,2026,June,6,Tuesday,Q2,1,50.1,1939,Jessica Mcbride,Female,North Sarah,United Kingdom,yahoo.com,3,Soumission,50.1,1,Fiction
58,2026-06-17,2026,June,6,Wednesday,Q2,3,71.64,36,Kyle Hooper,Male,Port Alexanderport,Latvia,gmail.com,17,Olio,23.88,1,Poetry
59,2026-07-09,2026,July,7,Thursday,Q3,3,56.34,1888,Kenneth Sparks,Male,Lake Evelynmouth,Christmas Island,yahoo.com,50,Unicorn Tracks,18.78,3,Fantasy
60,2026-04-03,2026,April,4,Friday,Q2,1,18.02,1347,Pamela Torres,Female,West Mark,Bahrain,hotmail.com,37,Maude (1883-1993):She Grew Up with the country,18.02,2,Default
61,2026-07-19,2026,July,7,Sunday,Q3,3,132.54,1761,Megan Sullivan,Female,Stevenland,Sierra Leone,yahoo.com,49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Nonfiction
62,2026-02-02,2026,February,2,Monday,Q1,1,13.99,1455,Jennifer Prince,Female,Lake David,Congo,yahoo.com,11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Default
63,2025-12-21,2025,December,12,Sunday,Q4,3,53.79,204,Andrew Ramirez,Male,Port Sarahport,Liechtenstein,yahoo.com,8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Default
64,2026-04-07,2026,April,4,Tuesday,Q2,1,19.63,985,Scott Bowers,Male,New Carrie,China,yahoo.com,38,"In a Dark, Dark Wood",19.63,1,Mystery
65,2026-04-13,2026,April,4,Monday,Q2,2,67.26,1179,Curtis Rice,Male,Port Kevinbury,Timor-Leste,gmail.com,40,You can't bury them all: Poems,33.63,2,Poetry
66,2026-08-01,2026,August,8,Saturday,Q3,3,93.15,1008,Daniel Jones,Male,Isaacchester,Cote d'Ivoire,hotmail.com,32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction
67,2025-09-26,2025,September,9,Friday,Q3,1,51.77,1646,Bryan Zhang,Male,Coxport,China,gmail.com,1,A Light in the Attic,51.77,3,Poetry
68,2026-07-13,2026,July,7,Monday,Q3,1,40.3,1942,Lori Jones,Female,Charlesstad,Chile,hotmail.com,29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction
69,2026-06-24,2026,June,6,Wednesday,Q2,1,53.74,1344,Raymond Lawrence,Male,New Karen,Angola,gmail.com,2,Tipping the Velvet,53.74,1,Historical Fiction
70,2025-12-06,2025,December,12,Saturday,Q4,3,61.98,1010,William Kim,Male,Staceyburgh,Central African Republic,yahoo.com,12,Shakespeare's Sonnets,20.66,4,Poetry
71,2026-04-01,2026,April,4,Wednesday,Q2,1,17.46,1862,Shannon Reynolds,Female,Port Andrew,Belgium,hotmail.com,13,Set Me Free,17.46,5,Young Adult
72,2026-09-04,2026,September,9,Friday,Q3,2,28.54,1711,Sharon Warren,Female,Walkertown,Hong Kong,yahoo.com,48,Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry
73,2026-07-05,2026,July,7,Sunday,Q3,2,45.2,49,Manuel Allen,Male,Landryshire,French Southern Territories,hotmail.com,9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default
74,2026-08-20,2026,August,8,Thursday,Q3,3,120.9,1201,Emily Russell,Female,Shaneberg,Saudi Arabia,gmail.com,29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction
75,2026-03-23,2026,March,3,Monday,Q1,2,102.66,175,Steven Smith,Male,Port Richard,Libyan Arab Jamahiriya,yahoo.com,19,Libertarianism for Beginners,51.33,2,Politics
76,2025-09-12,2025,September,9,Friday,Q3,2,73.78,1901,Richard Jackson,Male,North Elizabethtown,Kiribati,gmail.com,34,The Bear and the Piano,36.89,1,Childrens
77,2025-10-12,2025,October,10,Sunday,Q4,2,100.54,563,Jill Turner,Female,East Rhondahaven,Djibouti,yahoo.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
78,2025-10-27,2025,October,10,Monday,Q4,2,46.22,954,Vickie Roberts,Female,New Cherylport,Bahrain,hotmail.com,44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction
79,2026-06-18,2026,June,6,Thursday,Q2,1,18.02,1534,Ryan Bennett,Male,Loweryfurt,Kazakhstan,yahoo.com,37,Maude (1883-1993):She Grew Up with the country,18.02,2,Default
80,2026-04-24,2026,April,4,Friday,Q2,2,66.68,236,Scott Williams,Male,South Davidborough,Morocco,gmail.com,7,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business
81,2025-11-04,2025,November,11,Tuesday,Q4,1,54.23,82,Andrew Harris,Male,Michelleton,Tonga,gmail.com,5,Sapiens: A Brief History of Humankind,54.23,5,History
82,2026-01-22,2026,January,1,Thursday,Q1,2,102.66,441,Breanna Harrison,Female,Parkershire,Barbados,gmail.com,19,Libertarianism for Beginners,51.33,2,Politics
83,2025-11-24,2025,November,11,Monday,Q4,3,143.46,187,Paul Martin,Male,South Nancyview,Sierra Leone,yahoo.com,4,Sharp Objects,47.82,4,Mystery
84,2025-09-27,2025,September,9,Saturday,Q3,2,104.58,1117,Thomas Fisher,Male,Riveraville,Burkina Faso,gmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
85,2026-04-22,2026,April,4,Wednesday,Q2,2,35.32,1737,Taylor Nelson,Female,Carlsonton,Andorra,hotmail.com,31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality
86,2026-03-10,2026,March,3,Tuesday,Q1,2,61.04,735,Jennifer Bennett,Female,Sylviaborough,Dominica,gmail.com,23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Food and Drink
87,2026-05-12,2026,May,5,Tuesday,Q2,2,95.64,1933,Alison Brown,Female,South Douglas,Christmas Island,yahoo.com,4,Sharp Objects,47.82,4,Mystery
88,2026-06-04,2026,June,6,Thursday,Q2,2,104.58,1078,Kimberly West,Female,New Michaelchester,Mayotte,hotmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
89,2025-10-06,2025,October,10,Monday,Q4,3,105.06,412,Jon Mora,Male,Port Veronica,Guyana,hotmail.com,15,Rip it Up and Start Again,35.02,5,Music
90,2025-09-09,2025,September,9,Tuesday,Q3,3,52.38,584,Douglas Gonzalez,Male,Toddburgh,Turkey,gmail.com,13,Set Me Free,17.46,5,Young Adult
91,2025-12-28,2025,December,12,Sunday,Q4,2,67.26,681,Joshua Leonard,Male,Port Tiffanyland,Marshall Islands,yahoo.com,40,You can't bury them all: Poems,33.63,2,Poetry
92,2026-07-07,2026,July,7,Tuesday,Q3,1,22.65,281,Austin Hernandez,Male,Wileystad,Korea,gmail.com,6,The Requiem Red,22.65,1,Young Adult
93,2026-02-20,2026,February,2,Friday,Q1,1,47.82,1983,David Riley,Male,North Jose,Afghanistan,hotmail.com,4,Sharp Objects,47.82,4,Mystery
94,2025-11-03,2025,November,11,Monday,Q4,2,90.34,267,Ashley Lopez,Female,Josephstad,Colombia,hotmail.com,20,It's Only the Himalayas,45.17,2,Travel
95,2025-11-17,2025,November,11,Monday,Q4,3,162.69,1531,Wendy Ramirez,Female,Jeremybury,Papua New Guinea,gmail.com,5,Sapiens: A Brief History of Humankind,54.23,5,History
96,2026-03-20,2026,March,3,Friday,Q1,3,150.81,81,Nicole Kelly,Female,North Jennifer,Western Sahara,gmail.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
97,2026-02-24,2026,February,2,Tuesday,Q1,3,161.22,1285,Charles Hernandez,Male,Anthonyview,Bermuda,gmail.com,2,Tipping the Velvet,53.74,1,Historical Fiction
98,2025-11-28,2025,November,11,Friday,Q4,2,25.68,336,Brittney Walker,Female,South Michaelstad,Burundi,gmail.com,21,In Her Wake,12.84,1,Thriller
99,2025-12-17,2025,December,12,Wednesday,Q4,3,99.87,264,Andrew Nielsen,Male,Jeremiahmouth,Ukraine,yahoo.com,36,Penny Maybe,33.29,3,Default
100,2025-12-22,2025,December,12,Monday,Q4,1,54.23,1260,Brian Clark,Male,Lake Carla,Grenada,hotmail.com,5,Sapiens: A Brief History of Humankind,54.23,5,History
101,2026-03-05,2026,March,3,Thursday,Q1,2,45.2,321,Jackson Williams,Male,Lake Timothyshire,Tunisia,yahoo.com,9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default
102,2026-02-16,2026,February,2,Monday,Q1,2,107.48,700,Zachary Macias,Male,Stephensonmouth,Saint Martin,yahoo.com,2,Tipping the Velvet,53.74,1,Historical Fiction
103,2026-07-02,2026,July,7,Thursday,Q3,3,47.82,555,Glen Fleming,Male,Garrettland,Montenegro,hotmail.com,35,Sophie's World,15.94,5,Philosophy
104,2026-07-01,2026,July,7,Wednesday,Q3,1,45.07,551,Heather Ball,Female,Briannashire,Guernsey,yahoo.com,45,Without Borders (Wanderlove #1),45.07,2,New Adult
105,2026-05-18,2026,May,5,Monday,Q2,2,46.22,1710,Amanda Jones,Female,West Victoriatown,Benin,gmail.com,44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction
106,2026-02-10,2026,February,2,Tuesday,Q1,2,41.32,1761,Megan Sullivan,Female,Stevenland,Sierra Leone,yahoo.com,12,Shakespeare's Sonnets,20.66,4,Poetry
107,2026-04-24,2026,April,4,Friday,Q2,2,104.3,340,Mike Brandt,Male,New Jeremy,Bouvet Island (Bouvetoya),gmail.com,10,The Black Maria,52.15,1,Poetry
108,2026-03-14,2026,March,3,Saturday,Q1,3,75.81,1914,Sherry Davis,Female,West Stephen,Finland,yahoo.com,24,Chase Me (Paris Nights #2),25.27,5,Romance
109,2026-01-30,2026,January,1,Friday,Q1,3,156.87,131,Jesse Jones,Male,Port Richard,Colombia,gmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
110,2026-04-25,2026,April,4,Saturday,Q2,2,75.18,1175,Danielle Wood,Female,East Nathanport,Montenegro,hotmail.com,18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction
111,2026-07-15,2026,July,7,Wednesday,Q3,2,45.3,1129,Michael Pugh,Male,Port Lindseyburgh,Mongolia,yahoo.com,6,The Requiem Red,22.65,1,Young Adult
112,2026-04-27,2026,April,4,Monday,Q2,1,53.74,945,Michael Smith,Male,Port Meredith,Guatemala,yahoo.com,2,Tipping the Velvet,53.74,1,Historical Fiction
113,2026-06-26,2026,June,6,Friday,Q2,2,25.68,14,Thomas Schmidt,Male,Sarahborough,Paraguay,gmail.com,21,In Her Wake,12.84,1,Thriller
114,2025-12-07,2025,December,12,Sunday,Q4,2,62.1,508,Amy Parrish,Female,Port Brian,Ukraine,hotmail.com,32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction
115,2026-03-25,2026,March,3,Wednesday,Q1,1,53.74,1255,Emily Aguilar,Female,Lindseyland,Mexico,yahoo.com,2,Tipping the Velvet,53.74,1,Historical Fiction
116,2026-02-23,2026,February,2,Monday,Q1,2,95.22,461,Jeremy Edwards,Male,Tammyburgh,Jamaica,gmail.com,43,Private Paris (Private #10),47.61,5,Fiction
117,2026-06-27,2026,June,6,Saturday,Q2,3,120.9,91,Brad Fry,Male,Joneston,Cayman Islands,hotmail.com,29,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,Nonfiction
118,2026-09-03,2026,September,9,Thursday,Q3,3,150.81,871,Stephen Williams,Male,Timothyhaven,Costa Rica,yahoo.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
119,2025-09-11,2025,September,9,Thursday,Q3,2,45.2,64,Paula Bradley,Female,Nelsonhaven,Brazil,gmail.com,9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default
120,2026-02-24,2026,February,2,Tuesday,Q1,3,71.46,556,Bethany Holmes,Female,Warnerland,Tunisia,gmail.com,33,The Elephant Tree,23.82,5,Thriller
121,2025-11-12,2025,November,11,Wednesday,Q4,3,156.87,20,Hannah Hoover,Female,North Natalieview,Christmas Island,gmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
122,2026-02-20,2026,February,2,Friday,Q1,1,52.29,1736,Linda Ward,Female,Sergiomouth,Niue,yahoo.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
123,2026-05-22,2026,May,5,Friday,Q2,2,35.32,699,Lisa Cole,Female,West Dana,China,hotmail.com,31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality
124,2026-05-15,2026,May,5,Friday,Q2,2,102.66,1624,Bruce Armstrong,Male,South Susanbury,Senegal,hotmail.com,19,Libertarianism for Beginners,51.33,2,Politics
125,2026-07-23,2026,July,7,Thursday,Q3,3,56.34,1314,Robert Mejia,Male,Cummingsland,Qatar,hotmail.com,50,Unicorn Tracks,18.78,3,Fantasy
126,2025-09-13,2025,September,9,Saturday,Q3,3,53.79,360,Shelley Anderson,Female,South Jamesburgh,Australia,gmail.com,8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Default
127,2026-08-26,2026,August,8,Wednesday,Q3,1,52.15,1284,Sherri Smith,Female,North Michaelburgh,Burundi,hotmail.com,10,The Black Maria,52.15,1,Poetry
128,2026-05-08,2026,May,5,Friday,Q2,2,90.14,40,Christopher Parker,Male,New Billchester,Saint Pierre and Miquelon,hotmail.com,45,Without Borders (Wanderlove #1),45.07,2,New Adult
129,2026-06-28,2026,June,6,Sunday,Q2,3,67.95,1587,Jacqueline Ramos,Female,Port Danielside,Saint Pierre and Miquelon,yahoo.com,6,The Requiem Red,22.65,1,Young Adult
130,2026-06-05,2026,June,6,Friday,Q2,1,57.31,1501,Frederick Jones,Male,Brownshire,Zimbabwe,gmail.com,41,Slow States of Collapse: Poems,57.31,3,Poetry
131,2026-07-03,2026,July,7,Friday,Q3,2,27.98,1235,Tyler Jennings,Male,New Natalieside,Bolivia,yahoo.com,11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Default
132,2025-10-15,2025,October,10,Wednesday,Q4,3,162.69,70,Eric Hayes,Male,Cassidyhaven,Canada,gmail.com,5,Sapiens: A Brief History of Humankind,54.23,5,History
133,2026-02-24,2026,February,2,Tuesday,Q1,3,71.46,1992,Thomas Hill,Male,East Donna,Anguilla,gmail.com,33,The Elephant Tree,23.82,5,Thriller
134,2025-12-04,2025,December,12,Thursday,Q4,3,142.83,1370,Angela Rodriguez,Female,Carsonburgh,Korea,hotmail.com,43,Private Paris (Private #10),47.61,5,Fiction
135,2026-08-30,2026,August,8,Sunday,Q3,3,71.64,793,George Mason,Male,New Lindaland,Bahrain,hotmail.com,17,Olio,23.88,1,Poetry
136,2026-08-20,2026,August,8,Thursday,Q3,3,150.81,289,Valerie Reyes,Female,New Caitlinmouth,Moldova,yahoo.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
137,2026-07-20,2026,July,7,Monday,Q3,2,63.54,369,Scott Solis,Male,Chanport,Oman,yahoo.com,46,When We Collided,31.77,1,Contemporary
138,2026-05-01,2026,May,5,Friday,Q2,2,104.44,651,Benjamin Holland,Male,Hernandezbury,Myanmar,yahoo.com,39,Behind Closed Doors,52.22,4,Thriller
139,2025-09-09,2025,September,9,Tuesday,Q3,1,47.61,396,Alyssa Brown,Female,South William,Madagascar,yahoo.com,43,Private Paris (Private #10),47.61,5,Fiction
140,2025-11-24,2025,November,11,Monday,Q4,2,52.82,122,Randy Friedman,Male,Lake Charles,Ethiopia,yahoo.com,42,Reasons to Stay Alive,26.41,2,Nonfiction
141,2026-08-30,2026,August,8,Sunday,Q3,3,79.23,1344,Raymond Lawrence,Male,New Karen,Angola,gmail.com,42,Reasons to Stay Alive,26.41,2,Nonfiction
142,2026-04-10,2026,April,4,Friday,Q2,3,159.39,1342,Calvin Alexander,Male,Port Tiffanyhaven,Japan,yahoo.com,28,Aladdin and His Wonderful Lamp,53.13,3,Default
143,2025-11-25,2025,November,11,Tuesday,Q4,2,104.3,360,Shelley Anderson,Female,South Jamesburgh,Australia,gmail.com,10,The Black Maria,52.15,1,Poetry
144,2025-09-17,2025,September,9,Wednesday,Q3,2,107.48,453,Laura Smith,Female,Smithmouth,Germany,gmail.com,2,Tipping the Velvet,53.74,1,Historical Fiction
145,2026-04-18,2026,April,4,Saturday,Q2,1,35.02,1316,Susan Arias,Female,East Stephaniehaven,Morocco,yahoo.com,15,Rip it Up and Start Again,35.02,5,Music
